file_number,category,doc_type,order_date,url,extraction_method,all_amounts_found,fee_amounts_found,primary_amount,amount_type,matched_context,notes
LTB-L-090986-25,L1,ExParte Order,2026-01-19,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sUpXUIA0/LTB-L-090986-25-EX-signed.pdf,text,[],[],,,,no dollar amount found
LTB-L-096286-25,L1,Order,2026-02-06,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tVLAAIA4/LTB-L-096286-25-SIGN.pdf,text,"[75.13, 2285.11, 11233.09, 186.0, 2175.0, 2744.57, 1897.01, 75.13, 13791.66, 186.0, 11233.09, 2744.57, 11325.08, 186.0, 11233.09, 2175.0, 50000.0, 75.13]","[1897.01, 13791.66, 186.0, 11325.08, 186.0]",2744.57,arrears,"tion was filed  - $11,233.09  Total the Tenant must pay to continue the tenancy >>>$2,744.57<<< B. Amount the Tenant must pay if the tenancy is terminated  Rent Owing to Heari",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-012064-26,L1,Order,2026-05-05,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yz3MdIAI/LTB-L-012064-26-HR.pdf,text,"[1852.47, 60.9, 1852.47, 4000.0, 5106.76, 186.0, 5292.76, 1852.47, 600.0, 492.76]",[],5292.76,arrears,"It is ordered that:  1. The Tenants shall pay to the Landlords >>>$5,292.76<<< for arrears of rent up to April 30, 2026  and costs.  2. The Tenants shall pay",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-031431-26,L1,ExParte Order,2026-05-27,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N3000010dtfFIAQ/LTB-L-031431-26-EX signed.pdf,ocr,[],[],,,,no dollar amount found
LTB-L-011807-26,L1,Order,2026-05-27,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N3000010TfDmIAK/LTB-L-011807-26-HR - May 27 2026.doc.pdf,text,"[3583.16, 1750.0, 1833.16]",[],3583.16,arrears,"It is ordered on consent that:  1. The Tenant shall pay to the Landlord >>>$3,583.16<<< for arrears of rent up to April 30,  2026, and costs.  2. The Tenant shall pay",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-022324-26,L1,Order,2026-05-05,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yrwzOIAQ/LTB-L-022324-26_L1_2026_05_05 - cert.pdf,text,"[8064.93, 1300.0, 8064.93, 75.0, 39.93]","[8064.93, 1300.0]",8064.93,arrears,"It is ordered on consent that:  1. The Tenant shall pay to the Landlord >>>$8,064.93<<< for arrears of rent up to April 30, 2026 and  costs.         File Number: LTB-L",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-104869-25,L1,Order,2026-04-24,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yMu9FIAS/LTB-L-104869-25-VO-SA.pdf,text,[],[],,,,no dollar amount found
LTB-L-103059-25,L1,Order,2026-03-06,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000ur9cqIAA/LTB-L-103059-25-HR.pdf,text,[],[],,,,no dollar amount found
LTB-L-030049-26,L1,ExParte Order,2026-05-29,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N3000010qBYLIA2/LTB-L-030049-26-EX signed.pdf,text,[],[],,,,no dollar amount found
LTB-L-106822-25,L1,Order,2026-03-16,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vewpIIAQ/LTB-L-106822-25-HR - March 16 2026.pdf,text,"[2475.0, 81.37, 2475.0, 12375.0, 186.0, 2475.0, 39.73, 12561.0, 8384.97, 81.37, 12375.0, 186.0, 12561.0, 10713.7, 186.0, 2475.0, 39.73, 8384.97, 50000.0, 81.37]","[12375.0, 186.0, 12561.0, 10713.7, 186.0, 2475.0]",8384.97,arrears,"5. If the Tenant does not void the order, the Tenant shall pay to the Landlord >>>$8,384.97<<<. This  amount includes rent arrears owing up to the date of the hearing and the",found in operative 'It is ordered that' section; matched expected keyword for category
