file_number,category,doc_type,order_date,fsa,primary_amount,amount_type,monthly_rent,rent_pattern,months_of_rent_owed,hearing_date,hearing_sentence_found,landlord_attended,tenant_attended,landlord_represented,tenant_represented,explicit_non_attendance,extraction_method,notes
LTB-L-037727-25,A1,Order,2026-01-15,N0G,,,,,,"January 6, 2026",False,,,,,True,text,no dollar amount found
LTB-L-040204-25,A1,Order,2026-01-27,M1J,,,,,,"January 20, 2026",True,True,False,False,,True,text,no dollar amount found
LTB-L-042790-25,A1,Order,2026-03-13,P3B,900.0,other,,,,"February 5, 2026",True,True,False,False,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; single candidate amount, no strong keyword match"
LTB-L-046265-25,A1,Order,2026-03-04,N4K,,,,,,"February 26, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-050599-25,A1,Order,2026-03-06,K2S,,,,,,"March 3, 2026",True,False,True,,False,True,text,no dollar amount found
LTB-L-051440-25,A1,Order,2026-03-03,M6R,,,,,,"February 18, 2026",True,True,True,True,True,False,text,no dollar amount found
LTB-L-068454-25,A1,Order,2026-01-08,L6V,1000.0,other,,,,"December 9, 2025",True,True,False,True,,True,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; single candidate amount, no strong keyword match"
LTB-L-095501-25,A1,Order,2026-01-12,N5Y,,,,,,"December 22, 2025",True,True,False,False,,True,text,no dollar amount found
LTB-T-000786-26,A1,Order,2026-03-30,N2K,200.0,ambiguous-max,,,,"February 27, 2026",True,False,False,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; multiple candidate amounts, took max — manual review advised"
LTB-T-001306-26,A1,Order,2026-04-23,L6M,,,,,,,False,,,,,False,text,no dollar amount found
LTB-T-016061-25,A1,Order,2026-01-14,L4H,,,,,,"January 8, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-T-037318-25,A1,Order,2026-03-12,P1B,,,,,,"March 9, 2026",True,True,False,False,,True,text,no dollar amount found
LTB-T-044567-25,A1,Order,2026-03-19,L9Z,,,,,,"March 18, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-T-071495-25,A1,Order,2026-05-13,M6G,,,,,,"May 5, 2026",True,True,False,False,,True,text,no dollar amount found
LTB-T-086812-23,A1,Order,2026-01-05,N0H,,,,,,"December 16, 2025",True,True,False,True,,True,text,no dollar amount found
LTB-L-000472-25,A2,Order,2026-01-29,M4G,,,,,,"October 21, 2025",True,False,False,,,True,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-018621-25,A2,Review Order,2026-01-05,L5B,,,,,,"November 19, 2025",True,True,True,True,False,True,text,no dollar amount found
LTB-L-026170-25,A2,Review Order,2026-05-08,M5A,,,,,,"April 2, 2026",True,False,False,,,True,text,no dollar amount found
LTB-L-026211-25,A2,Order,2026-01-29,N6H,,,,,,"September 24, 2025",True,True,True,True,False,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-031493-24,A2,Order,2026-01-27,M4H,25036.44,arrears,,,,"October 20, 2025",True,True,True,True,False,False,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-036412-25,A2,Order,2026-01-05,L1N,9295.2,arrears,,,,"December 2, 2025",True,True,True,True,True,False,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-048544-25,A2,Order,2026-01-27,M4H,,,,,,"January 21, 2026",True,True,True,False,False,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-049505-25,A2,Order,2026-01-21,P3A,,,,,,"January 15, 2026",False,,,,,True,text,no dollar amount found
LTB-L-054505-25,A2,Review Order,2026-02-24,M1M,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-057526-25,A2,Order,2026-02-04,M6M,,,,,,"February 3, 2026",True,True,False,False,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-057540-25,A2,Order,2026-01-09,K7N,,,,,,"December 15, 2025",True,True,True,True,False,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-057757-25,A2,Order,2026-01-29,L3P,1141.68,arrears,,,,"January 19, 2026",True,True,False,True,,False,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-069286-25,A2,Order,2026-02-13,N0B,11046.72,arrears,,,,"November 4, 2025",True,True,False,True,,True,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-071130-25,A2,Order,2026-04-07,M6K,,,,,,"February 23, 2026",True,True,True,True,False,True,text,no dollar amount found
LTB-L-073799-25,A2,Order,2026-04-15,L4C,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-076295-25,A2,Order,2026-03-11,M1L,12792.78,arrears,,,,"March 5, 2026",True,True,False,True,,True,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-077358-25,A2,Order,2026-05-07,M8V,201.0,other,,,,"February 19, 2026",True,False,True,,False,True,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-081039-25,A2,Order,2026-04-01,L6G,,,,,,"March 24, 2026",False,,,,,True,text,no dollar amount found
LTB-L-081074-25,A2,Order,2026-05-05,L8N,,,,,,"March 26, 2026",True,True,False,True,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-081117-25,A2,Order,2026-04-30,M5R,,,,,,"March 26, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-082818-25,A2,Order,2026-04-02,M6K,,,,,,"March 26, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-L-082975-25,A2,Order,2026-04-01,M3C,,,,,,"March 26, 2026",False,,,,,True,text,no dollar amount found
LTB-L-083621-24,A2,Order,2026-04-27,N1H,,,,,,"May 12, 2025",True,True,False,True,,False,text,no dollar amount found
LTB-L-085900-25,A2,Order,2026-04-02,N6B,,,,,,"March 26, 2026",True,False,False,,,True,text,no dollar amount found
LTB-L-088711-25,A2,Order,2026-05-11,M6S,186.0,other,,,,"April 14, 2026",True,True,True,True,False,False,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-091963-25,A2,Order,2026-04-14,N6H,,,,,,"April 7, 2026",True,True,True,True,False,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-097432-25,A2,Order,2026-04-27,M9A,,,,,,"April 13, 2026",True,True,True,True,False,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-097444-25,A2,Order,2026-03-17,M3A,,,,,,"March 3, 2026",True,True,False,True,,False,text,no dollar amount found
LTB-L-099119-25,A2,Order,2026-03-13,N2A,,,,,,"March 5, 2026",True,True,False,True,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-099829-25,A2,Order,2026-04-10,M4C,,,,,,"April 9, 2026",True,True,True,True,False,False,text,no dollar amount found
