file_number,category,doc_type,order_date,fsa,primary_amount,amount_type,monthly_rent,rent_pattern,months_of_rent_owed,hearing_date,hearing_sentence_found,landlord_attended,tenant_attended,landlord_represented,tenant_represented,explicit_non_attendance,extraction_method,notes
LTB-L-000042-26,L1,Order,2026-03-23,M1K,3729.48,arrears,1845.0,pattern_2,2.02,"March 10, 2026",True,True,True,True,True,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000050-26,L1,Order,2026-03-13,L1H,10459.25,arrears,1800.0,pattern_2,5.81,"March 10, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000067-26,L1,Order,2026-03-12,M4R,5197.1,arrears,2200.0,pattern_1,2.36,"March 9, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000082-26,L1,Amended Order,2026-03-27,N5P,6488.0,arrears,,,,"March 16, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000108-26,L1,Order,2026-03-19,M4X,2726.0,arrears,980.0,pattern_1,2.78,"March 11, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000114-26,L1,Order,2026-03-17,L0R,25186.0,arrears,1950.0,pattern_2,12.92,"March 9, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000132-25,L1,Review Order,2026-02-09,M9R,2686.0,arrears,,,,"June 12, 2025",True,False,True,,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000134-26,L1,Order,2026-03-24,K1K,13576.0,arrears,,,,"March 17, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000137-25,L1,Order,2026-03-04,L7A,6876.0,arrears,,,,"March 3, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000137-25,L1,Review Order,2026-05-13,L7A,6876.0,arrears,,,,"March 3, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000175-26,L1,Order,2026-03-18,K1J,2635.16,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000182-26,L1,Order,2026-03-16,P6B,998.0,arrears,,,,"March 10, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000194-26,L1,Order,2026-04-28,L4N,16231.33,arrears,2159.57,pattern_2,7.52,"March 16, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000209-26,L1,Order,2026-03-13,K9V,2638.0,arrears,,,,"March 10, 2026",True,True,True,True,True,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000247-26,L1,Order,2026-03-19,N3S,4637.0,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000285-26,L1,Order,2026-03-18,L8E,8691.92,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000303-26,L1,Order,2026-04-21,P2N,3986.0,arrears,1900.0,pattern_2,2.1,"March 11, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000306-26,L1,Order,2026-03-11,M2M,,,,,,"March 9, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-000312-26,L1,Order,2026-03-23,K1B,632.29,arrears,2075.62,pattern_2,0.3,"March 12, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000350-26,L1,Order,2026-03-27,K1E,734.3,arrears,2423.1,pattern_2,0.3,"March 12, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000404-26,L1,Order,2026-03-17,N2C,5432.8,arrears,2215.34,pattern_1,2.45,"March 12, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000416-26,L1,Order,2026-03-18,L6L,6000.0,ambiguous-max,1750.0,pattern_2,3.43,"March 11, 2026",False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-L-000469-26,L1,Order,2026-03-20,L4G,6904.8,arrears,2000.0,pattern_2,3.45,"March 12, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000470-26,L1,Order,2026-03-13,K9V,7208.63,arrears,2046.09,pattern_1,3.52,"March 10, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000482-26,L1,Order,2026-03-16,M5A,7236.97,arrears,2200.0,pattern_1,3.29,"March 9, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000486-26,L1,Order,2026-04-01,M4C,4822.93,arrears,2135.0,pattern_1,2.26,"March 23, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000488-26,L1,Order,2026-03-26,M4C,9569.04,arrears,1885.0,pattern_1,5.08,"March 23, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000492-26,L1,Order,2026-03-30,P1P,1200.0,stated_total,1200.0,pattern_1,1.0,"March 10, 2026",False,,,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-000493-26,L1,Order,2026-03-31,M3C,,,,,,"March 23, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-000521-26,L1,Order,2026-03-30,P0G,5000.0,arrears,,,,"March 16, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000597-26,L1,Order,2026-04-30,N0C,35786.0,arrears,2800.0,pattern_1,12.78,"March 10, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000622-25,L1,Order,2026-05-19,N7T,17482.0,arrears,,,,"May 14, 2025",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000647-26,L1,Order,2026-03-12,N6A,1595.0,stated_total,1595.0,pattern_1,1.0,"March 9, 2026",True,True,True,True,False,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-000670-26,L1,Order,2026-03-13,L2R,588.0,arrears,,,,"March 11, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000681-26,L1,Order,2026-03-02,M4Y,,,,,,"February 23, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-L-000714-26,L1,Order,2026-03-10,M6R,10492.69,arrears,2593.11,pattern_1,4.05,"February 25, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000722-26,L1,Order,2026-05-12,K1V,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-000722-26,L1,Order,2026-05-12,K1V,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-000743-26,L1,Order,2026-03-17,L8S,3691.2,arrears,885.74,pattern_1,4.17,"March 11, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000748-26,L1,ExParte Order,2026-03-17,L7P,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-000752-26,L1,Order,2026-03-16,L3V,5019.75,arrears,1486.25,pattern_1,3.38,"March 11, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000760-26,L1,Order,2026-03-13,N2M,2882.01,arrears,1291.29,pattern_1,2.23,"March 11, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000798-25,L1,Order,2026-02-05,L3C,7336.6,arrears,1400.0,pattern_2,5.24,"December 22, 2025",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000802-26,L1,Order,2026-03-23,M2N,,,,,,"March 16, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-000857-26,L1,Order,2026-03-26,L4S,2400.0,stated_total,2400.0,pattern_1,1.0,"March 12, 2026",False,,,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-000860-26,L1,Order,2026-03-20,L4J,5707.73,arrears,2600.0,pattern_2,2.2,"March 11, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000870-26,L1,ExParte Order,2026-03-19,L8L,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-000889-26,L1,Amended Order,2026-05-12,M1E,856.0,arrears,,,,"March 17, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000898-26,L1,Order,2026-03-19,M8Y,9484.09,arrears,2300.0,pattern_2,4.12,"March 12, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000907-26,L1,Order,2026-03-19,L1X,18786.0,arrears,3100.0,pattern_1,6.06,"March 11, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000908-26,L1,Order,2026-03-19,M2N,19868.0,arrears,2584.0,pattern_2,7.69,"March 11, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000914-26,L1,Order,2026-03-17,N5Z,,,,,,"March 11, 2026",False,,,,,True,text,no dollar amount found
LTB-L-000926-26,L1,ExParte Order,2026-03-03,N5W,1769.98,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000959-26,L1,ExParte Order,2026-02-23,M1J,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-001015-26,L1,Order,2026-03-18,P4N,5326.0,arrears,1350.0,pattern_1,3.95,"March 16, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001018-26,L1,Order,2026-03-19,P2N,4047.99,arrears,1308.0,pattern_1,3.09,"March 12, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001027-26,L1,Order,2026-03-26,N7S,,,,,,"March 23, 2026",True,False,True,,False,True,text,no dollar amount found
LTB-L-001031-26,L1,Order,2026-03-18,K8A,10407.38,arrears,2100.0,pattern_1,4.96,"March 11, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001043-26,L1,Order,2026-03-17,M1P,6656.25,arrears,2300.0,pattern_1,2.89,"March 11, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001068-26,L1,Order,2026-03-19,L6A,,,,,,"March 11, 2026",True,False,True,,False,True,text,no dollar amount found
LTB-L-001070-26,L1,Order,2026-03-27,L4T,,,,,,"March 19, 2026",False,,,,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-001078-26,L1,ExParte Order,2026-03-19,K1G,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-001087-26,L1,Order,2026-04-10,N2G,4831.12,arrears,2007.28,pattern_1,2.41,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001131-26,L1,Order,2026-03-23,M4Y,,,,,,"March 18, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-L-001140-26,L1,Order,2026-03-13,L9C,,,,,,"March 11, 2026",False,,,,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-001145-26,L1,Order,2026-03-18,N2P,2991.56,arrears,850.0,pattern_1,3.52,"March 11, 2026",True,False,False,,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001146-26,L1,Order,2026-03-18,M9W,9405.27,arrears,,,,"March 11, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001153-26,L1,Order,2026-03-24,M5A,,,,,,"March 18, 2026",False,,,,,True,text,no dollar amount found
LTB-L-001162-26,L1,Order,2026-03-16,N3T,4786.0,arrears,2300.0,pattern_1,2.08,"March 12, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001172-26,L1,Order,2026-03-30,M9N,2773.8,arrears,1557.56,pattern_1,1.78,"March 23, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001190-26,L1,Order,2026-03-27,M4Y,4946.61,arrears,2499.0,pattern_1,1.98,"March 19, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001193-26,L1,Order,2026-03-17,N2M,,,,,,"March 11, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-L-001210-26,L1,Order,2026-03-20,N2M,3556.0,arrears,1308.03,pattern_1,2.72,"March 11, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001234-26,L1,Order,2026-03-24,L8N,35963.13,arrears,1772.57,pattern_1,20.29,"March 17, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001250-26,L1,Order,2026-03-20,N8T,12138.0,arrears,1232.0,pattern_1,9.85,"March 16, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001263-26,L1,Order,2026-03-24,L8N,3466.38,arrears,938.46,pattern_1,3.69,"March 17, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001280-26,L1,Order,2026-04-24,P3E,,,,,,"March 16, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-L-001302-26,L1,Order,2026-03-18,N6H,4170.37,arrears,,,,"March 16, 2026",True,False,True,,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001308-26,L1,Order,2026-03-26,M8Y,3524.64,arrears,2092.02,pattern_2,1.68,"March 23, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001322-26,L1,Order,2026-05-20,P8N,,,,,,"May 13, 2026",True,True,True,False,False,False,text,no dollar amount found
LTB-L-001323-26,L1,ExParte Order,2026-03-19,K2C,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-001326-26,L1,ExParte Order,2026-02-10,M2N,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-001381-26,L1,Order,2026-03-30,L1J,5566.32,arrears,2024.2,pattern_2,2.75,"March 23, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001408-26,L1,Order,2026-03-19,L1V,18900.0,arrears,,,,"March 11, 2026",False,,,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; matched expected keyword for category"
LTB-L-001416-26,L1,Order,2026-03-25,N3R,6003.5,arrears,1578.5,pattern_1,3.8,"March 23, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001426-26,L1,Order,2026-04-01,M3C,5967.0,arrears,2283.0,pattern_1,2.61,"March 23, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001428-26,L1,ExParte Order,2026-01-27,N6H,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-001444-26,L1,ExParte Order,2026-03-12,M9R,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-001456-26,L1,Order,2026-03-18,L5E,6486.0,arrears,,,,"March 11, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001462-26,L1,Order,2026-03-23,M2N,,,,,,"March 16, 2026",True,False,True,,False,True,text,no dollar amount found
LTB-L-001488-26,L1,Order,2026-04-02,K9J,4500.7,arrears,1651.94,pattern_1,2.72,"March 24, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001518-26,L1,Order,2026-04-02,K1G,,,,,,"March 23, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-001518-26,L1,Order,2026-04-02,K1G,,,,,,"March 23, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-001532-26,L1,Order,2026-03-30,N3R,3565.7,arrears,1575.94,pattern_1,2.26,"March 12, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001546-26,L1,Order,2026-04-29,L1H,,,,,,"March 18, 2026",True,True,True,False,False,False,text,no dollar amount found
LTB-L-001566-26,L1,Order,2026-03-18,N3T,8986.0,arrears,3400.0,pattern_1,2.64,"March 12, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001571-26,L1,Order,2026-03-23,N2B,4767.46,arrears,1724.64,pattern_1,2.76,"March 16, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001609-26,L1,Order,2026-03-20,M4S,4708.49,arrears,1900.0,pattern_1,2.48,"March 12, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001619-26,L1,ExParte Order,2026-04-29,P9A,261.73,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001625-26,L1,Order,2026-03-18,M1S,2262.61,arrears,,,,"March 12, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001634-26,L1,Order,2026-03-24,P6C,8783.79,arrears,1332.49,pattern_1,6.59,"March 16, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001643-26,L1,Order,2026-03-31,N2B,3389.85,arrears,1622.97,pattern_1,2.09,"March 25, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001663-26,L1,Order,2026-04-21,N7S,21336.0,arrears,2350.0,pattern_1,9.08,"March 16, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001665-26,L1,Order,2026-04-08,L6L,10160.98,arrears,2004.8,pattern_1,5.07,"March 12, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001715-26,L1,Order,2026-04-01,L5N,5865.82,arrears,2695.75,pattern_2,2.18,"March 19, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001732-26,L1,Order,2026-03-31,M6K,15988.57,arrears,3520.0,pattern_1,4.54,"March 19, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001736-26,L1,Order,2026-04-29,L8R,19920.0,arrears,3474.0,pattern_1,5.73,"April 13, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001742-26,L1,Order,2026-04-08,L4M,,,,,,"March 18, 2026",False,,,,,False,text,no dollar amount found
